x,y,Amplitude,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak
375,386,0.002601050744785453,9.36317811543129,1.9729630023874238,4.645972737281953,1.7028302546992642
390,386,0.004790949009598221,8.354955619170504,1.6724354742995826,3.9382845035901433,3.1364912578582738
365,387,0.002027699291840122,7.645420179184585,1.9729630023707825,4.645972737242766,1.327474178848609
396,390,0.01755023073333806,5.804171621720629,1.2577513375472926,2.961778004683116,11.48961200760655
380,392,0.004297373530762404,7.992541154109452,0.7990041618640467,1.8815109804406944,2.813362130130075
387,392,0.013661424075845842,8.587397605271194,1.727549295289823,4.068067631534381,8.943726409515353
360,393,0.00193945771445704,6.845560929202603,1.9309850661603953,4.547122253495822,1.2697050530476082
393,396,0.012572143161502307,6.5962668427161,1.9309850661603576,4.547122253495734,8.230606721047435
400,397,0.0052993136157996595,6.4871404654373865,1.3284126724052716,3.128172729233382,3.469302385666351
386,399,0.00832580615531125,8.264626814479056,1.930985066152297,4.547122253476752,5.450656679593068
391,404,0.003186963812755831,6.787870042182918,1.9309850661603856,4.547122253495799,2.0864100448144014
