x,y,model,amp,v0 (km/s),σ (km/s),FWHM (km/s),SNR_peak,AIC(1G),AIC(2G),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2
397,384,1g,13.237326258039424,6.489998808713599,0.8693115767560762,2.0470722871767433,3.690728975473342,53.542549886210594,45.50481941178649,,,,,,,,,,
379,385,2g,,,,,,139.63977454069223,105.00489402144945,13.802602295856516,8.56349876300945,0.3122439688626431,0.7352783427571293,3.8483348704436535,9.086633063958992,9.861222695484914,0.29459390448535877,0.6937156181602125,2.5334647862350574
385,387,1g,15.327326000990169,8.281792675849882,0.991484129927181,2.334766658835125,4.273446546958402,66.87467273443147,65.17656809926977,,,,,,,,,,
373,388,1g,12.290513267443947,8.464816955693719,0.8965208230583513,2.111145164554267,3.426745896819295,80.21936548468084,85.93292410276702,,,,,,,,,,
365,391,1g,13.31289072097598,9.079934932568458,0.532438550274825,1.2537969469581636,3.711797274874564,47.23952301064031,44.16548542183509,,,,,,,,,,
396,392,1g,20.927759585097668,5.648245257132662,0.847408984498661,1.995495624877137,5.834916144455574,90.25877254592932,87.94082286672975,,,,,,,,,,
380,393,1g,33.410850543671856,9.025724156373407,0.8046430965595789,1.8947896566404276,9.315355064384613,37.856599195741886,42.191655510677045,,,,,,,,,,
387,393,1g,38.74126515585911,8.115022488343747,0.8726197173972451,2.054862362921381,10.801540059525752,73.61242584996948,,,,,,,,,,,
371,394,1g,9.182724175251636,9.881615447534273,1.966425949197917,4.630579153690239,2.560256167048672,50.25560586052973,52.58081998460527,,,,,,,,,,
401,396,1g,13.45632963150886,6.665845468337831,0.4406564527556594,1.037666628078082,3.7517898030478802,59.47604854448743,59.05809166918999,,,,,,,,,,
393,398,2g,,,,,,130.1397087684337,88.04761181807145,17.71372114491382,6.409787209267921,0.20181258238648914,0.47523230525535237,4.938802792843693,15.357544758028123,7.927375537121904,0.5580787832246823,1.3141750803131464,4.281871907188156
377,399,2g,,,,,,98.57723809194142,82.61140564368,9.412573067535261,7.845179916314671,0.21554042128412115,0.5075588948482742,2.6243408583371735,23.915999838947236,9.266329405630707,0.5969257902844468,1.4056527894776212,6.668074191297571
384,399,1g,14.720283842894743,8.399765573120192,0.8502410660712586,2.0021646672059212,4.104195745207106,45.16421688923403,,,,,,,,,,,
371,401,2g,,,,,,180.86767389775304,72.57887060364482,3.7719564016891187,8.30583374198216,0.2577917766555311,0.6070532315039778,1.0516677246268968,13.096013339539489,10.132624154760768,0.5096817180335536,1.2002087032597726,3.651329199963566
384,406,1g,7.981708249800425,8.493184983185245,0.939181469251849,2.211603307423639,2.2253981912262777,58.86293116530683,59.63400806897849,,,,,,,,,,
