molecule,x,y,v0 (km/s),σ (km/s),FWHM (km/s),Amp[glycolaldehyde_2178307],Amp[glycolaldehyde_2182605]
glycolaldehyde,394,383,6.5898012298474145,0.26805225056904525,0.6312148006849991,8.229774762002387,9.591090858455777
glycolaldehyde,380,384,6.277464787692339,0.1359236446559112,0.32007571690863285,8.553223028226785,0.7093921721804124
glycolaldehyde,371,385,7.43588140737629,0.1712054072051131,0.40315791699474446,12.441639555617188,2.9163080160136365
glycolaldehyde,387,388,8.284505995576039,0.6907681937619431,1.6266347580344989,9.917420654253581,1.8872965902653476
glycolaldehyde,397,389,6.277174177567662,0.378086181902691,0.8903249028680948,27.40285042742592,34.74013675568082
glycolaldehyde,379,391,6.638835700356366,0.14576244777139372,0.3432443272610334,9.577104025607523,9.606429598620416
glycolaldehyde,402,394,6.6709713968821935,0.30791738114829137,0.7250900074756195,18.126040391190514,29.89806106691185
glycolaldehyde,385,395,8.254391635537786,0.5477735385095862,1.2899080839531438,23.02262392223617,10.31519032219844
glycolaldehyde,395,396,6.145678876286143,0.37601063124079187,0.8854373546584415,19.7288279428844,35.444895040441935
glycolaldehyde,374,397,7.595439560498776,0.3987927257199008,0.9390850863797369,9.194486082828242,3.5094835961858126
glycolaldehyde,382,401,8.127262007494533,0.40195246712770116,0.9465257086416533,8.085529536885955,1.3175302303023562
glycolaldehyde,391,402,7.027629892413844,0.627471025934468,1.477581321291004,7.102500972760265,19.75259902326113
glycolaldehyde,398,402,6.782066107640637,0.3768701723687317,0.8874614192973369,16.914782332120236,15.875405407155204
