x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2,amp3,v03 (km/s),σ3 (km/s),FWHM3 (km/s),SNR3
398,366,1g,63.57218799657098,0.0018817514825208946,5.924986581506444,0.1754706953815433,0.41320190289836584,1.398076481888323,,,,,,,,,,
384,382,2g,45.65060721750774,0.002606746485906385,7.43217132978978,0.6081812822892612,1.432157447160398,1.9367227766487387,0.004397610058823772,8.476596812759345,0.14004083663149855,0.3297709629165854,3.2672726748808456,,,,,
389,387,1g,95.47540258566684,0.012288602933239506,8.375201608731714,1.3470975478240035,3.17217224756692,9.130008354349867,,,,,,,,,,
397,388,3g,104.16472569272584,0.016745060578374084,6.196172959200649,0.7975958602185887,1.8781946835599372,12.441002757206615,0.007866691380981521,8.072810867144824,0.3716022414980505,0.8750563903244393,5.844680507592859,0.005919753010551001,9.116276119251683,0.2883479279349369,0.6790074676597482,4.398172415175474
381,391,2g,62.91370027001058,0.0023953714268386745,6.433715565680841,0.05000000000000001,0.11774100000000003,1.7796783944944976,0.005410724691948822,8.98897805285471,1.3300560912298571,3.1320426847498926,4.019981922188863,,,,,
387,393,1g,64.55064746055486,0.025534272815328177,8.315188798061175,1.1497344320561067,2.7074176352943615,18.97108445872276,,,,,,,,,,
395,394,3g,102.9084937645197,0.02688400213029982,6.204590301960968,0.7245119002659536,1.706095112984273,19.973886810523826,0.0143784446773382,7.973652987110965,0.48320945774861673,1.1378712952955978,10.682688727094261,0.011432363412259325,9.527464943980423,0.5338011919431008,1.2570057228114528,8.493851907409258
402,395,3g,68.05773089209825,0.005643232517692272,6.4670129814346735,0.4084922571110077,0.9619257368901432,4.192727221473247,0.003364531944194181,8.228152454948614,0.5213979382767866,1.2277982930129427,2.499731249016114,0.004562658559286904,9.246357599641035,0.11097858899137404,0.26133460092866745,3.3898980210074834
384,399,1g,36.67693394442575,0.008338439592995846,8.250373761483576,1.2639986957526914,2.976489408732353,6.195173166541925,,,,,,,,,,
391,399,2g,68.4205157157366,0.01326868878146273,7.053307755962459,2.010859258341969,4.735211598728836,9.858178353077232,0.008720490647585242,7.875633775015581,0.2257248755681082,0.5315414514852925,6.4790239296546535,,,,,
398,400,2g,66.69009887685566,0.0070205127573915605,6.529309772343738,0.311146869389422,0.7326948709755987,5.215998960583838,0.003256210785623948,8.116222136565318,1.6684985366037566,3.9290137239652583,2.4192523623540665,,,,,
384,408,2g,55.76201447015027,0.0029029745910967523,7.432860676927219,0.050000000000094996,0.11774100000022371,2.156810046932791,0.0022518642735301873,10.392599149687063,1.85726276538913,4.373519505193632,1.6730575267088335,,,,,
