x,y,model,AIC(best),amp1,v01 (km/s),σ1 (km/s),FWHM1 (km/s),SNR1,amp2,v02 (km/s),σ2 (km/s),FWHM2 (km/s),SNR2
400,383,2g,52.53891619029821,0.006195446560565082,6.735225253676359,0.38137122861461314,0.8980605965662634,3.452428823666221,0.005460472249303981,9.299522921300053,0.2338576810444442,0.5506927444770782,3.0428624635908603
386,386,1g,41.95773384941329,0.00852578709213266,8.309341811342,1.328849775248761,3.1292020277512873,4.751017188765082,,,,,
394,386,1g,43.39347182239051,0.005881845584792246,7.242797083647418,1.8937483476282273,4.459436483961903,3.2776738584988285,,,,,
375,390,1g,57.57766085377443,0.005381683726969608,8.192902946293957,0.8643557977346371,2.035402319621478,2.9989573531485147,,,,,
400,390,1g,52.41511135213184,0.008682537848564105,6.377776261491422,0.7414059219685735,1.7458774931700363,4.838366958365232,,,,,
368,393,1g,54.298593662509525,0.00500889989278397,9.47472803231396,1.259861809095228,2.966747785293625,2.7912225851123718,,,,,
387,393,1g,51.88493368029623,0.01721008735556478,8.458862822246559,0.990085595338998,2.3314733616161796,9.590366257431826,,,,,
394,393,2g,78.68465780181499,0.007019843823095208,6.180100026696746,0.6142225702431713,1.4463835928600246,3.9118263575626218,0.008810630974519361,8.44802366270797,0.7326391327333481,1.725233282543143,4.909747188319326
380,394,1g,75.28736946883846,0.015040952466493236,9.21969413241313,1.068881902507486,2.5170244816626783,8.381610158861331,,,,,
399,397,1g,48.74436120992639,0.0037280031500057436,6.183700174355944,1.9342792020536568,4.554879350579992,2.077439520134344,,,,,
375,398,2g,71.12221503982676,0.002771432559003915,5.577398361480166,1.1931672366566184,2.8096940722237385,1.5443880527442473,0.008506140184910221,9.474728032317879,1.0961303340724164,2.581189633280408,4.74006889825405
390,399,1g,90.98963854908125,0.007032672465337913,7.770033423225755,1.4792129529131315,3.4832802457789005,3.918975152054552,,,,,
383,400,1g,48.3920937589253,0.006688942867085325,8.670491426611319,1.247217939375867,2.936973748001079,3.7274309330941344,,,,,
