molecule,x,y,v0 (km/s),σ (km/s),FWHM (km/s),Amp[acetaldehyde_2313573],Amp[acetaldehyde_2313633],Amp[acetaldehyde_2313698]
acetaldehyde,387,375,7.9816706125434385,0.40979709348870746,0.9649983916890782,5.266693261951822,31.59137810028523,31.40254998374033
acetaldehyde,394,375,7.737253033339997,0.7394315963679787,1.7412283117592438,4.585137035919437,21.28052977310007,13.136169575727015
acetaldehyde,389,381,7.929581272187074,0.4502893899433983,1.060350461226513,10.001660472110755,42.57270204850845,50.04332774597466
acetaldehyde,396,381,7.01452163279308,0.3698369799243637,0.8708995170654902,25.057005025221553,33.31205630813377,24.034401897846323
acetaldehyde,403,382,6.993354073483279,0.361173726055006,0.8504991135888492,5.690728927669679,25.377002242859252,27.77274348243092
acetaldehyde,382,383,7.894942555793638,0.5447257265729458,1.2827310354485044,13.43886887996854,35.28562781435286,23.72754340352876
acetaldehyde,387,387,8.189019063856605,0.4669881130737006,1.0996729484282117,13.308458540177957,28.57142674494774,27.689495403766248
acetaldehyde,394,387,6.759367816811359,0.28157398921602567,0.6630560612856816,20.601332377501862,34.56422516701322,16.375987163966396
acetaldehyde,401,388,6.751901804156371,0.34785180597296333,0.8191283897412536,34.33455370062237,46.45265052018345,51.50221485710596
acetaldehyde,379,393,9.268186458586934,0.15056696739999964,0.35455810617286715,14.183127968347806,20.765957831606737,2.0776980454439167e-20
acetaldehyde,396,393,6.25692111921532,0.35586698345072865,0.8380026899694448,31.822491680844717,30.613976351416028,27.140852605946172
acetaldehyde,405,393,7.04698363048771,0.3094613560066239,0.7287257903515181,10.588232003325354,40.68449677470276,34.43989388090729
acetaldehyde,387,394,8.37734825929018,0.4828506915171572,1.137026465398432,13.975267767106297,26.447473914945036,9.98701523671514
acetaldehyde,392,398,6.841245390226261,0.9710417110220542,2.2866284419489538,7.066379811452605,10.137029074320544,1.480834124611046e-10
acetaldehyde,400,398,6.8302412053463994,0.33906968586650565,0.7984480776721649,31.752641325420203,53.131211443407615,42.148584167797004
acetaldehyde,385,400,8.47799285568701,0.6003186055181727,1.4136422586463036,4.95952034486377,28.95117973059983,24.87743121908704
acetaldehyde,396,403,6.9145893980205,0.3400154755256172,0.8006752420772338,22.492162121836422,26.86750438487848,37.829606889362225
acetaldehyde,390,405,7.475429242507352,0.2788217329922076,0.6565749932847103,13.547424190082353,18.480383616696464,7.8001929734970386
acetaldehyde,401,407,7.051801398512815,0.29400591560293715,0.6923310101801085,0.26399924954875614,20.353139008511196,14.750450937515753
acetaldehyde,395,410,6.822743845070893,0.3506367427017659,0.8256864144489725,2.245318635027671,10.4517848137883,11.38006597062847
