molecule,x,y,v0_1 (km/s),σ1 (km/s),FWHM1 (km/s),v0_2 (km/s),σ2 (km/s),FWHM2 (km/s),model,AIC1,AIC2,A1[propanenitrile_2206609],A2[propanenitrile_2206609],A1[propanenitrile_2329623],A2[propanenitrile_2329623],A1[propanenitrile_2329676],A2[propanenitrile_2329676]
propanenitrile,400,383,6.710435378545246,0.2108800013925367,0.4965844448791733,,,,1G,291.9221413707786,294.96719347011754,8.49951576247942,0.0,13.785724607093835,0.0,5.206734485889992,0.0
propanenitrile,386,386,7.687370540871388,0.4551862448506745,1.0718816730992653,8.724866300740272,0.34145742071281554,0.8040707634429524,2G,227.6250801144973,215.03444663980835,6.722538415142119,8.839950911272059,10.544038034596156,12.167752032351357,5.893711254522339,7.863099345259862
propanenitrile,394,386,6.8517689685764,0.918304109319511,2.162440882707771,,,,1G,233.16088524701013,238.03193721263858,5.172500097482462,0.0,1.2482613067541237,0.0,6.269279993131484,0.0
propanenitrile,375,390,8.220138609889368,0.647581011613619,1.5249367177679825,9.717549665696565,0.060955385181194977,0.14353896013238157,2G,231.01118005387448,216.45197729615614,12.960590670444853,514.1412610639638,6.089757676679826,1.131185266504527e-32,5.2919386534931565,11.723282210444253
propanenitrile,400,390,6.304208137001103,0.42325440232216077,0.9966879316762707,6.8769879844252415,0.22728088487996234,0.535205573333033,2G,326.5404283048426,315.2101909389495,16.439696866677874,13.569070738496547,16.283748980739574,1.1689299624238642e-09,8.545346790956554,2.3123973769557495
propanenitrile,368,393,8.600273969883865,0.3144852667619306,0.7405561958763295,9.732808578775352,0.27495851148995043,0.6474778020267651,2G,251.6059170349323,233.45827180019285,6.835801995805758,23.774595644500643,6.955789899256562,10.775819585636773,4.794404250138249,7.748342932053301
propanenitrile,387,393,8.09315592936923,0.5531391376415856,1.3025431041011588,8.456375407678824,0.5763185368632435,1.357126416976303,2G,408.61569655634474,347.9482642894519,6.0589688435751974e-15,35.156857067513265,29.11499909697358,2.1856031132335578e-14,9.979304863639754,8.717160978566339
propanenitrile,394,393,7.217080331246609,0.021890018156830598,0.051547052556067834,8.336038278177162,0.061592811064135555,0.1450399833500477,2G,454.07328493566655,433.29989628536373,7.86361866981192e-47,16.948157291447224,3.767664662289699e-49,5.343762286974809e-75,26.94113063579877,10.003587608343542
propanenitrile,380,394,9.077652093733606,0.523749041374378,1.233334717609213,,,,1G,630.3336194748258,627.1285802022303,24.288753776298222,0.0,23.473551945838196,0.0,17.091870197708296,0.0
propanenitrile,399,397,6.549291134217723,0.2697238794342823,0.6351511857694366,,,,1G,242.09289515398336,243.47971217536713,8.48143229787358,0.0,9.599885580634718,0.0,14.886072643667625,0.0
propanenitrile,375,398,9.775998082875976,0.5030666028137478,1.1846312976378697,,,,1G,499.43020036195475,505.47148327688535,14.433534047162361,0.0,11.400099067396521,0.0,11.818100662286835,0.0
propanenitrile,390,399,7.609074481052752,0.277969556689981,0.6545682714847012,8.350491511213727,0.33389190932750595,0.7862553459225976,2G,236.93861288501543,212.9342305646934,15.796846596767173,1.920466411670758,13.486618059095772,11.110035932854574,11.246505214084344,2.089703116407813
propanenitrile,383,400,8.662030663478724,0.6377107669280496,1.50169406817751,,,,1G,171.8582324824845,174.21765707064614,11.63304839169742,0.0,12.177051054730619,0.0,16.57626382351785,0.0
